"","subject","rt","correct","condition"
"1",1,0.4319,2,1
"2",1,0.5015,2,3
"3",1,0.3104,2,3
"4",1,0.4809,2,1
"5",1,0.3415,2,1
"6",1,0.3465,2,2
"7",1,0.3572,2,2
"8",1,0.4042,2,2
"9",1,0.3866,2,2
"10",1,0.3683,2,1
"11",1,0.371,2,1
"12",1,0.3545,2,2
"13",1,0.3111,1,1
"14",1,0.4169,2,1
"15",1,0.5127,2,2
"16",1,0.4118,1,3
"17",1,0.4826,2,1
"18",1,0.4343,1,3
"19",1,0.3803,2,1
"20",1,0.5187,2,3
"21",1,0.4716,2,1
"22",1,0.5938,2,2
"23",1,0.3796,2,2
"24",1,0.4949,2,3
"25",1,0.4693,2,1
"26",1,0.3286,1,2
"27",1,0.4872,1,1
"28",1,0.3089,2,2
"29",1,0.5114,2,3
"30",1,0.2873,2,3
"31",1,0.4389,2,3
"32",1,0.4144,2,2
"33",1,0.3114,2,2
"34",1,0.4272,2,2
"35",1,0.4181,2,1
"36",1,0.3373,2,3
"37",1,0.321,1,1
"38",1,0.458,2,3
"39",1,0.5226,2,3
"40",1,0.4205,2,3
"41",1,0.4179,1,3
"42",1,0.4914,2,2
"43",1,0.4112,2,1
"44",1,0.3927,2,1
"45",1,0.5793,2,2
"46",1,0.4194,2,2
"47",1,0.4449,2,3
"48",1,0.4873,2,1
"49",1,0.4025,2,2
"50",1,0.4911,2,3
"51",1,0.3138,2,3
"52",1,0.7872,2,2
"53",1,0.4621,2,2
"54",1,0.4605,2,2
"55",1,0.5369,2,1
"56",1,0.4935,2,2
"57",1,0.325,2,2
"58",1,0.5663,2,3
"59",1,0.6087,1,1
"60",1,0.4528,2,3
"61",1,0.3561,1,3
"62",1,0.5971,1,1
"63",1,0.5204,2,2
"64",1,0.4084,2,2
"65",1,0.4569,2,1
"66",1,0.483,2,1
"67",1,0.5611,2,3
"68",1,0.4731,1,2
"69",1,0.4539,2,1
"70",1,0.4068,2,2
"71",1,0.4937,2,2
"72",1,0.4483,2,3
"73",1,0.411,2,2
"74",1,0.7205,1,2
"75",1,0.4949,1,3
"76",1,0.4455,2,3
"77",1,0.4926,2,1
"78",1,0.3879,2,2
"79",1,0.465,2,2
"80",1,0.4222,1,3
"81",1,0.4399,2,3
"82",1,0.4755,2,1
"83",1,0.6957,2,1
"84",1,0.5289,2,1
"85",1,0.5916,2,3
"86",1,0.3304,1,3
"87",1,0.5636,1,1
"88",1,0.4408,2,3
"89",1,0.463,2,3
"90",1,0.4236,2,1
"91",1,0.4592,2,1
"92",1,0.2693,1,3
"93",1,0.2952,1,3
"94",1,0.4789,2,1
"95",1,0.3169,2,3
"96",1,0.3923,1,2
"97",1,0.4053,2,3
"98",1,0.5048,2,2
"99",1,0.4835,2,2
"100",1,0.5265,2,2
"101",1,0.4513,2,1
"102",1,0.4731,2,1
"103",1,0.4288,2,3
"104",1,0.4477,2,2
"105",1,0.5573,2,1
"106",1,0.4584,2,2
"107",1,0.4639,2,2
"108",1,0.7772,2,3
"109",1,0.4252,2,2
"110",1,0.3848,2,3
"111",1,0.4019,2,1
"112",1,0.5508,2,2
"113",1,0.3627,2,3
"114",1,0.4297,2,1
"115",1,0.4747,2,1
"116",1,0.4237,2,1
"117",1,0.4207,1,2
"118",1,0.3172,1,3
"119",1,0.4012,2,2
"120",1,0.5346,2,2
"121",1,0.4813,2,2
"122",1,0.5952,2,1
"123",1,0.3472,1,1
"124",1,0.4643,2,2
"125",1,0.4814,2,3
"126",1,0.401,2,2
"127",1,0.3694,2,2
"128",1,0.3772,2,1
"129",1,0.5742,2,3
"130",1,0.3782,2,2
"131",1,0.4619,1,2
"132",1,0.4138,2,2
"133",1,0.4528,2,1
"134",1,0.3655,2,1
"135",1,0.3399,2,1
"136",1,0.479,2,2
"137",1,0.393,2,2
"138",1,0.3841,2,1
"139",1,0.6002,2,2
"140",1,0.4669,2,3
"141",1,0.4466,2,3
"142",1,0.456,2,2
"143",1,0.4601,2,1
"144",1,0.3923,2,1
"145",1,0.4067,2,3
"146",1,0.6388,2,1
"147",1,0.3722,2,2
"148",1,0.5878,1,2
"149",1,0.4227,1,3
"150",1,0.3978,2,3
"151",1,0.4178,1,1
"152",1,0.7814,1,1
"153",1,0.4248,1,3
"154",1,0.4782,1,2
"155",1,0.4422,2,2
"156",1,0.5291,2,3
"157",1,0.2508,1,3
"158",1,0.3542,1,1
"159",1,0.2742,1,3
"160",1,0.4646,1,1
"161",1,0.4665,2,1
"162",1,0.4027,2,2
"163",1,0.3085,2,3
"164",1,0.4583,2,1
"165",1,0.6759,2,2
"166",1,0.5509,2,3
"167",1,0.4365,2,2
"168",1,0.5855,1,2
"169",1,0.552,2,3
"170",1,0.4266,2,3
"171",1,0.4857,2,1
"172",1,0.6528,2,1
"173",1,0.48,2,2
"174",1,0.5891,2,2
"175",1,0.3986,2,3
"176",1,0.4201,2,1
"177",1,0.7018,2,2
"178",1,0.4592,1,1
"179",1,0.5463,2,3
"180",1,0.4831,2,3
"181",1,0.391,2,2
"182",1,0.4486,2,3
"183",1,0.5876,1,2
"184",1,0.4442,2,3
"185",1,0.6047,2,2
"186",1,0.4358,1,2
"187",1,0.4746,2,3
"188",1,0.3632,1,1
"189",1,0.5256,1,1
"190",1,0.402,2,2
"191",1,0.6796,2,3
"192",1,0.7914,2,3
"193",1,0.4348,2,3
"194",1,0.6568,1,2
"195",1,0.6033,1,2
"196",1,0.5513,2,1
"197",1,0.5813,1,2
"198",1,0.525,2,1
"199",1,0.2798,2,3
"200",1,0.2523,2,3
"201",1,0.3321,1,3
"202",1,0.4299,2,1
"203",1,0.5173,2,2
"204",1,0.6356,1,3
"205",1,0.4517,2,1
"206",1,0.675,2,2
"207",1,0.4096,2,2
"208",1,0.4336,2,1
"209",1,0.4569,2,2
"210",1,0.409,2,1
"211",1,0.492,2,2
"212",1,0.6233,2,1
"213",1,0.4498,2,1
"214",1,0.498,2,1
"215",1,0.4112,2,1
"216",1,0.2876,2,3
"217",1,0.3355,1,3
"218",1,0.3671,2,3
"219",1,0.5044,2,1
"220",1,0.4332,2,1
"221",1,0.5173,2,2
"222",1,0.4167,2,3
"223",1,0.6077,1,3
"224",1,0.5463,2,3
"225",1,0.6583,2,3
"226",1,0.5603,2,2
"227",1,0.5375,2,3
"228",1,0.4121,2,3
"229",1,0.4699,2,1
"230",1,0.4044,2,3
"231",1,0.4536,2,1
"232",1,0.6896,1,1
"233",1,0.3712,2,2
"234",1,0.3519,2,1
"235",1,0.4314,2,2
"236",1,0.4011,2,1
"237",1,0.4584,2,2
"238",1,0.3586,2,1
"239",1,0.4882,2,3
"240",1,0.4748,1,2
"241",1,0.5834,2,3
"242",1,0.3367,2,1
"243",1,0.4662,1,2
"244",1,0.5583,2,1
"245",1,0.382,2,2
"246",1,0.4591,2,1
"247",1,0.4927,2,1
"248",1,0.4766,2,3
"249",1,0.4957,2,1
"250",1,0.5469,1,1
"251",1,0.4361,2,1
"252",1,0.382,2,3
"253",1,0.4984,1,3
"254",1,0.437,2,2
"255",1,0.4367,2,1
"256",1,0.3845,1,2
"257",1,0.6772,2,2
"258",1,0.4187,2,2
"259",1,0.4819,1,1
"260",1,0.3619,2,3
"261",1,0.5692,2,1
"262",1,0.4684,2,3
"263",1,0.3691,2,3
"264",1,0.4472,2,1
"265",1,0.4135,1,2
"266",1,0.3386,2,3
"267",1,0.3522,2,2
"268",1,0.3882,2,1
"269",1,0.4852,1,1
"270",1,0.3567,2,1
"271",1,0.4128,2,3
"272",1,0.3609,2,1
"273",1,0.4359,2,2
"274",1,0.4232,2,3
"275",1,0.5396,2,3
"276",1,0.4162,2,1
"277",1,0.422,2,1
"278",1,0.4698,1,2
"279",1,0.4827,2,2
"280",1,0.4768,1,2
"281",1,0.585,2,2
"282",1,0.4128,2,2
"283",1,0.4402,1,2
"284",1,0.7228,2,3
"285",1,0.6428,1,1
"286",1,0.4409,2,2
"287",1,0.4642,2,1
"288",1,0.4315,1,1
"289",1,0.6628,1,1
"290",1,0.7461,1,2
"291",1,0.5233,2,3
"292",1,0.5865,2,3
"293",1,0.5548,2,1
"294",1,0.4716,2,2
"295",1,0.4277,2,1
"296",1,0.4423,2,2
"297",1,0.4188,2,3
"298",1,0.4141,2,2
"299",1,0.4767,1,1
"300",1,0.7544,2,1
"301",1,0.2666,2,3
"302",1,0.5793,2,1
"303",1,0.5217,2,1
"304",1,0.4692,2,1
"305",1,0.3557,2,3
"306",1,0.5117,2,2
"307",1,0.4572,2,2
"308",1,0.5874,2,2
"309",1,0.68,2,2
"310",1,0.5287,1,3
"311",1,0.6025,1,2
"312",1,0.5145,1,3
"313",1,0.4178,2,1
"314",1,0.4074,2,2
"315",1,0.5551,2,1
"316",1,0.5009,2,3
"317",1,0.6435,2,3
"318",1,0.8565,1,2
"319",1,0.6585,2,2
"320",1,0.716,2,1
"321",1,0.5658,2,2
"322",1,0.4019,2,1
"323",1,0.479,2,2
"324",1,0.3955,2,2
"325",1,0.6886,2,3
"326",1,0.4796,2,1
"327",1,0.4081,2,1
"328",1,0.6296,2,2
"329",1,0.4484,2,3
"330",1,0.3245,2,3
"331",1,0.4453,1,3
"332",1,0.4416,2,1
"333",1,0.4569,2,1
"334",1,0.3835,2,3
"335",1,0.4268,2,3
"336",1,0.6632,2,2
"337",1,0.5473,1,2
"338",1,0.4068,2,2
"339",1,0.4656,1,1
"340",1,0.4445,2,1
"341",1,0.7392,2,2
"342",1,0.7759,2,1
"343",1,0.4904,2,1
